Name,Office (Official),Office (General),Office Type,District,State of Office,State of Residence,Metropolitan Area,Party,Tenure,Profession,Gender,Ethnicity,Status
Saqib Ali,State House of Delegates,State House of Representatives,State,39,Maryland,Maryland,,Democrat,2007 - 2011,Engineer,M,Indian/Pakistani,Non-Incumbent
Vatsa Ramanathan,School Board Member,School Board Member,Local,Allen,Texas,Texas,,Independent,2017 - present,Engineer,M,Indian,Incumbent
Virbhadra Patel,Town Council Member,Council Member,Local,Woodbridge Township,New Jersey,New Jersey,,Democrat,2017 - present,Engineer,M,Indian,Incumbent
Gurdip Brar,Mayor,Mayoral,Local,Middleton,Wisconsin,Wisconsin,Madison,N/A,2017 - present,Geneticist,M,Indian,Incumbent
Tanika Padhye,City Council Member,Council Member,Local,Redmond,Washington,Washington,,N/A,2017 - present,Government Commissioner,F,Indian,Incumbent
Rashi Kesarwani,City Council Member,Council Member,Local,Berkeley,California,California,,Democrat,2018 - present,Government Finance Managaer,F,Indian,Incumbent
Preet Didbal,City Council Member,Council Member,Local,Yuba City,California,California,,Independent,2014 - 2017,"Government, DoC",F,Indian,Incumbent
Preet Didbal,Mayor,Mayoral,Local,Yuba City,California,California,,Independent,2017 - present,"Government, DoC",F,Indian,Incumbent
Abid Riaz Qureshi,Judge,Judge,Federal,DC District Court,DC,DC,DC,N/A,Lost,Attorney,M,Pakistani,Candidate
Ajit Pai,Chairman,Executive,Federal,Federal Communications Commission,US,Virginia,DC,Republican,2017 - present,Attorney,M,Indian,Incumbent
Arif Alikhan,Assistant Secretary for Policy Development,Executive,Federal,Homeland Security,California,California,Los Angeles,Democrat,2009 - 2011,Attorney,M,Indian/Pakistani,Non-Incumbent
Arif Alikhan,Deputy Executive Director,Executive,Federal,"Homeland Security at LA, Ontario, Washington International Airports",California,California,Los Angeles,Democrat,2011 - present,Attorney,M,Indian/Pakistani,Incumbent
Faisal Gill,Chair,Chair,Campaign,Democratic Party,Vermont,Vermont,Burlington,Democrat,2017 - 2017,Attorney,M,Pakistani,Non-Incumbent
Faisal Gill,State Senate,State Senate,State,Chittenden County,Vermont,Vermont,Burlington,Democrat,Lost,Attorney,M,Pakistani,Candidate
Faiz Shakir,Campaign Manager,Campaign Manager,Campaign,Bernie Sanders for President 2020,US,DC,DC,Democrat,2019 - present,Attorney,M,Pakistani,Incumbent
Hansen Clarke,State House of Representatives,State House of Representatives,State,16,Michigan,Michigan,Detroit,Democrat,1991 - 1992,Attorney,M,Bangladeshi,Non-Incumbent
Hansen Clarke,State House of Representatives,State House of Representatives,State,7,Michigan,Michigan,Detroit,Democrat,1999 - 2002,Attorney,M,Bangladeshi,Non-Incumbent
Hansen Clarke,State Senate,State Senate,State,1,Michigan,Michigan,Detroit,Democrat,2003 - 2011,Attorney,M,Bangladeshi,Non-Incumbent
Hansen Clarke,US House of Representatives,US House of Representatives,Federal,13,Michigan,Michigan,Detroit,Democrat,2011 - 2013,Attorney,M,Bangladeshi,Non-Incumbent
Kamala Harris,Attorney General,Attorney General,State,Statewide,California,California,San Francisco,Democrat,2011 - 2017,Attorney,F,Indian,Non-Incumbent
Kamala Harris,District Attorney,District Attorney,Local,San Francisco,California,California,San Francisco,Democrat,2004 - 2011,Attorney,F,Indian,Non-Incumbent
Kamala Harris,US Senate,US Senate,Federal,Statewide,California,California,San Francisco,Democrat,2017 - present,Attorney,F,Indian,Incumbent
Kesha Ram,Lieutenant Governor,Lieutenant Governor,State,Statewide,Vermont,Vermont,Rutland,Democrat,2009 - 2016,Attorney,F,Indian,Non-Incumbent
Kesha Ram,State House of Representatives,State House of Representatives,State,Chittenden 6-4,Vermont,Vermont,Rutland,Democrat,Lost,Attorney,F,Indian,Candidate
Kevin Thomas,State Senate,State Senate,State,6,New York,New York,New York City,Democrat,2019 - present,Attorney,M,Indian,Incumbent
Kris Kolluri,Commissioner,Executive,State,Department of Transportation,New Jersey,New Jersey,New York City,N/A,2006 - 2008,Attorney,M,Indian,Non-Incumbent
Manka Dhingra,State Senate,State Senate,State,45,Washington,Washington,Seattle,Democrat,2017 - present,Attorney,F,Indian,Incumbent
Rachel Paulose,US Attorney,US Attorney,Federal,District of Minnesota,Minnesota,Minnesota,,N/A,2006 - 2007,Attorney,F,Indian,Non-Incumbent
Raj Mukherji,Commissioner,Executive,Local,Jersey City Housing Authority,New Jersey,New Jersey,,Democrat,2008 - 2012 ,Attorney,M,Indian,Non-Incumbent
Raj Mukherji,Deputy Mayor,Mayoral,Local,Jersey City,New Jersey,New Jersey,,Democrat,2012 - 2013,Attorney,M,Indian,Non-Incumbent
Raj Mukherji,State General Assembly,State House of Representatives,State,33,New Jersey,New Jersey,,Democrat,2013 - present,Attorney,M,Indian,Incumbent
Rajeev Goyle,State House of Representatives,State House of Representatives,State,87,Kansas,Kansas,,Democrat,2007 - 2011,Attorney,M,Indian,Non-Incumbent
Rajeev Goyle,US House of Representatives,US House of Representatives,Federal,4,Kansas,Kansas,,Democrat,Lost,Attorney,M,Indian,Candidate
Ravinder Bhalla,Mayor,Mayoral,Local,Hoboken,New Jersey,New Jersey,,Democrat,2018 - present,Attorney,M,Indian,Incumbent
Reshma Saujani,US House of Representatives,US House of Representatives,Federal,14,New York,New York,,Democrat,Lost,Attorney,F,Indian,Candidate
Rohit Khanna,Deputy Assistant,Executive,Federal,Department of Commerce,US,California,,Democrat,2009 - 2011,Attorney,M,Indian,Non-Incumbent
Rohit Khanna,US House of Representatives,US House of Representatives,Federal,17,California,California,,Democrat,2017 - present,Attorney,M,Indian,Incumbent
Satveer Singh Chaudhary,State House of Representatives,State House of Representatives,State,52,Minnesota,Minnesota,,Democrat,1997 - 2001,Attorney,M,Indian,Non-Incumbent
Satveer Singh Chaudhary,State Senate,State Senate,State,50,Minnesota,Minnesota,,Democrat,2003 - 2011,Attorney,M,Indian,Non-Incumbent
Zainab Ahmad,District Attorney,District Attorney,Local,Eastern District of NY,US,New York,,N/A,N/A,Attorney,F,Pakistani,N/A
Zainab Ahmad,Special Prosecutor,Special Prosecutor,Federal,Department of Justice,US,New York,,N/A,2017 - present,Attorney,F,Pakistani,Incumbent
Sam Singh,Mayor,Mayoral,Local,East Lansing,Michigan,Michigan,,Democrat,2006 - 2007,Lobbyist,M,Indian,Non-Incumbent
Sam Singh,State House of Representatives,State House of Representatives,State,69,Michigan,Michigan,,Democrat,2013 - 2019,Lobbyist,M,Indian,Non-Incumbent
Kuldip Thusu,Vice Mayor,Mayoral,Local,Dinuba,California,California,Fresno,N/A,2014 - present,Medical Researcher,M,Indian,Incumbent
Ajay Patil,Township Council President,Council Member,Local,Edison,New Jersey,New Jersey,Edison,Democrat,2016 - present,N/A,M,Indian,Incumbent
"Akshar ""AJ"" Sidana",School Board Member,School Board Member,Local,Woodbridge Township,New Jersey,New Jersey,Middlesex,N/A,2016 - present,N/A,M,Indian,Incumbent
Balvir Singh,Council Member (Freeholder),Council Member,Local,Burlington County,New Jersey,New Jersey,New York City,Democrat,2018 - present,N/A,M,Indian,Incumbent
Balvir Singh,School Board Member,School Board Member,State,Board of Education,New Jersey,New Jersey,New York City,Democrat,2015 - 2017,N/A,M,Indian,Non-Incumbent
Bhagwan Dashairya,Governor,Governor,State,Statewide,Michigan,Michigan,Detroit,Republican,Lost,N/A,M,Indian,Candidate
Gurpul Samra,Mayor ,Mayoral,Local,Livingston,California,California,San Jose,N/A,"2010, 2018 - present",N/A,M,Indian,Incumbent
Joy Cherian,Commissioner,Executive,Federal,US Equal Employment Opportunity Commission,US,Maryland,DC,Republican,1987 - 1992,N/A,F,Indian,Non-Incumbent
Madalasa Gurung,State House of Representatives,State House of Representatives,State,Merrimack 24,New Hampshire,New Hampshire,Manchester,Democrat,Lost,N/A,F,Nepalese,Candidate
Nishita Desai,School Board Member,School Board Member,Local,Franklin,New Jersey,New Jersey,,N/A,2017 - present,N/A,F,Indian,Incumbent
Pradeep Dhakal,City Council Member,Council Member,Local,Herndon Town,Virginia,Virginia,,N/A,2018 - present,N/A,M,Nepalese,Incumbent
Sarabjit Cheema,School Board Member,School Board Member,Local,New Haven,California,California,,N/A,2014 - present,N/A,F,Indian,Incumbent
Satwinder Kaur,City Council Member,Council Member,Local,Kent,Washington,Washington,,N/A,2017 - present,N/A,F,Indian,Incumbent
Sean Hassan,Board of Trustees,School Board Member,Local,Austin Community College,Texas,Texas,,Independent,2016 - present,N/A,M,Indian,Incumbent
Sonny Dhaliwal,City Council Member,Council Member,Local,Lathrop,California,California,,N/A,2006 - 2012,N/A,M,Indian,Non-Incumbent
Sonny Dhaliwal,Mayor,Mayoral,Local,Lathrop,California,California,,N/A,2012 - present,N/A,M,Indian,Incumbent
Steve Rao,Town Council Member,Council Member,Local,Morrisville,North Carolina,North Carolina,,N/A,2011 - present,N/A,M,Indian,Incumbent
Suhas Naddoni,Vice Mayor,Mayoral,Local,Manassas Park,Virginia,Virginia,,N/A,2008 - present,N/A,M,Indian,Incumbent
Upendra Chivukula,City Council Member,Council Member,Local,"5, Franklin Townshop",New Jersey,New Jersey,,Democrat,1998-2005,N/A,M,Indian,Non-Incumbent
Upendra Chivukula,Commissioner,Executive,State,Board of Public Utilities,New Jersey,New Jersey,,Democrat,2014 - present,N/A,M,Indian,Incumbent
Upendra Chivukula,State General Assembly,State House of Representatives,State,17,New Jersey,New Jersey,,Democrat,2002 - 2014,N/A,M,Indian,Non-Incumbent
Vandana Slatter,State House of Representatives,State House of Representatives,State,48,Washington,Washington,,Democrat,2017 - present,Pharmacist,F,Indian,Incumbent
Ami Bera,US House of Representatives,US House of Representatives,Federal,7,California,California,Sacramento,Democrat,2013 - present,Physician ,M,Indian,Incumbent
Amish Shah,State House of Representatives,State House of Representatives,State,24,Arizona,Arizona,Phoenix,Democrat,2019 - present,Physician ,M,Indian,Incumbent
Anil Kumar,University Board of Governors,School Board Member,Local,Wayne State University,Michigan,Michigan,Detroit,Democrat,2018 - present,Physician ,M,Indian,Incumbent
Avanti Bergquist,"School Board Member, District 2",School Board Member,Local,Renton,Washington,Washington,Seattle,N/A,2017 - present,Physician ,F,Indian,Incumbent
Prasad Srinivasan,State House of Representatives,State House of Representatives,State,31,Connecticut,Connecticut,,Republican,2011 - 2019,Physician ,M,Indian,Non-Incumbent
Sabi Kumar,State House of Representatives,State House of Representatives,State,66,Tennessee,Tennessee,,Republican,2014 - present,Physician ,M,Indian,Incumbent
Sangeeta Doshi,City Council Member,Council Member,Local,Cherry Hill,New Jersey,New Jersey,,Democrat,2017 - present,Physician ,F,Indian,Incumbent
Ram Villivalam,State Senate,State Senate,State,8,Illinois,Illinois,,Democrat,2018 - present,Political Consultant,M,Indian,Incumbent
"Hira ""Harry"" Bhandari",State House of Delegates,State House of Representatives,State,8,Maryland,Maryland,Baltimore,Democrat,2018 - present,Politics,M,Nepalese,Incumbent
Kumar Barve,State House of Delegates,State House of Representatives,State,17,Maryland,Maryland,Baltimore,Democrat,2002-2015,Politics,M,Indian,Non-Incumbent
Niraj Antani,State House of Representatives,State House of Representatives,State,42,Ohio,Ohio,,Republican,2014 - present,Politics,M,Indian,Incumbent
"Piyush ""Bobby"" Jindal",Assistant Secretary,Executive,Federal,Health and Human Services for Planning and Evaluation,US,Louisiana,,Republican,2001 - 2003,Public Health,M,Indian,Non-Incumbent
"Piyush ""Bobby"" Jindal",Governor,Governor,State,Statewide,Louisiana,Louisiana,,Republican,2008 - 2016,Public Health,M,Indian,Non-Incumbent
"Piyush ""Bobby"" Jindal",US House of Representatives,US House of Representatives,Federal,1,Louisiana,Louisiana,,Republican,2005 - 2008,Public Health,M,Indian,Non-Incumbent
Manish Sethi,School Board Member,School Board Member,Local,Coppell,Texas,Texas,Dallas,Independent,2018 - present,Realtor,M,Indian,Incumbent
Arati Kreibich,City Council Member,Council Member,Local,Glen Rock,New Jersey,New Jersey,New York City,Democrat,2017 - present,Scientist,F,Indian,Incumbent
Arati Kreibich,US House of Representatives,US House of Representatives,Federal,5,New Jersey,New Jersey,New York City,Democrat,2018 - present,Scientist,F,Indian,Candidate
Seema Singh-Perez,City Council Member,Council Member,Local,Knoxville,Tennessee,Tennessee,,Democrat,2017 - present,Social Worker,F,Indian,Incumbent
Latha Mangipudi,State House of Representatives,State House of Representatives,State,35,New Hampshire,New Hampshire,Manchester,Democrat,2013 - present,Speech Pathologist,F,Indian,Incumbent
Kris Kolluri,Schools Development Authority,Executive,State,Statewide,New Jersey,New Jersey,New York City,N/A,2008 - present,State Government,M,Indian,Incumbent
Atif Qarni,Secretary,Executive,State,Education,Virginia,Virginia,DC,Democrat,2018 - present,Teacher,M,Pakistani,Incumbent
Atif Qarni,State Senate,State Senate,State,29,Virginia,Virginia,DC,Democrat,Lost,Teacher,M,Pakistani,Candidate
Usha Reddi,Commissioner,Executive,Local,Manhattan,Kansas,Kansas,,Democrat,2013 - present,Teacher,F,Indian,Incumbent
Ameya Pawar,Alderman/Council Member,Council Member,Local,Chicago,Illinois,Illinois,Chicago,Democrat,2011 - present,University administrator,M,Indian,Incumbent
